	n	p	p_mc
group1	13.0	0.6367770992954181	0.637285
group2	9.0	0.7777927756120597	0.777985
group3	17.0	0.5006180349426363	0.50179
group4	81.0	0.00039080582211674803	0.00034
group5	29.0	0.19769001867504465	0.199415
group6	26.0	0.25599925159772946	0.25839
group7	20.0	0.4078871094777948	0.40859
group8	38.0	0.08363724466130562	0.085145
group9	1.0	0.9866514794766174	0.98695
group10	28.0	0.21585037192217874	0.217685
group11	10.0	0.7429218496308708	0.742905
group12	16.0	0.5335648140455699	0.534455
group13	7.0	0.8443826168740521	0.84442
group14	19.0	0.4377067767942396	0.4388
group15	5.0	0.9036320005865308	0.90362
group16	23.0	0.3260526310564965	0.327605
group17	15.0	0.5673423471376051	0.567975
group18	19.0	0.4377067767942396	0.4388
group19	18.0	0.46864364454830054	0.46992
group20	11.0	0.7076021659432692	0.7076
group21	27.0	0.23527556043971876	0.237375
group22	27.0	0.23527556043971876	0.237375
group23	63.0	0.004545328645948788	0.00453
group24	19.0	0.4377067767942396	0.4388
group25	52.0	0.01776196739607719	0.01778
group26	33.0	0.13687985257205268	0.13778
group27	37.0	0.09255791572214164	0.093805
group28	27.0	0.23527556043971876	0.237375
group29	53.0	0.01576828350473405	0.015845
group30	22.0	0.35201804517410273	0.35302
group31	11.0	0.7076021659432692	0.7076
group32	16.0	0.5335648140455699	0.534455
group33	24.0	0.30138841387382326	0.303285
group34	10.0	0.7429218496308708	0.742905
group35	18.0	0.46864364454830054	0.46992
group36	6.0	0.8750880549677909	0.87498
group37	14.0	0.6017819849342632	0.602205
group38	9.0	0.7777927756120597	0.777985
group39	14.0	0.6017819849342632	0.602205
group40	20.0	0.4078871094777948	0.40859
group41	14.0	0.6017819849342632	0.602205
group42	13.0	0.6367770992954181	0.637285
group43	5.0	0.9036320005865308	0.90362
group44	22.0	0.35201804517410273	0.35302
group45	9.0	0.7777927756120597	0.777985
group46	23.0	0.3260526310564965	0.327605
group47	1.0	0.9866514794766174	0.98695
group48	24.0	0.30138841387382326	0.303285
group49	16.0	0.5335648140455699	0.534455
group50	11.0	0.7076021659432692	0.7076
group51	21.0	0.3792977989193782	0.379795
group52	13.0	0.6367770992954181	0.637285
group53	14.0	0.6017819849342632	0.602205
group54	5.0	0.9036320005865308	0.90362
group55	13.0	0.6367770992954181	0.637285
group56	31.0	0.1650144691224512	0.16628
group57	33.0	0.13687985257205268	0.13778
group58	19.0	0.4377067767942396	0.4388
group59	2.0	0.9717759992072467	0.9717
group60	25.0	0.2780348206846651	0.28033
group61	34.0	0.12438853713111309	0.12545
group62	17.0	0.5006180349426363	0.50179
group63	66.0	0.0030747835781519653	0.00302
group64	10.0	0.7429218496308708	0.742905
group65	7.0	0.8443826168740521	0.84442
group66	28.0	0.21585037192217874	0.217685
group67	3.0	0.9524905776673729	0.951885
group68	27.0	0.23527556043971876	0.237375
group69	9.0	0.7777927756120597	0.777985
group70	26.0	0.25599925159772946	0.25839
group71	6.0	0.8750880549677909	0.87498
group72	22.0	0.35201804517410273	0.35302
group73	45.0	0.03966974103952901	0.039845
group74	15.0	0.5673423471376051	0.567975
group75	19.0	0.4377067767942396	0.4388
group76	18.0	0.46864364454830054	0.46992
group77	8.0	0.8117969462700925	0.812245
group78	27.0	0.23527556043971876	0.237375
group79	5.0	0.9036320005865308	0.90362
group80	16.0	0.5335648140455699	0.534455
group81	11.0	0.7076021659432692	0.7076
group82	36.0	0.10228770515807882	0.103235
group83	19.0	0.4377067767942396	0.4388
group84	20.0	0.4078871094777948	0.40859
group85	26.0	0.25599925159772946	0.25839
group86	18.0	0.46864364454830054	0.46992
group87	4.0	0.9295752138973431	0.92911
group88	6.0	0.8750880549677909	0.87498
group89	39.0	0.07547344661588593	0.07689
