	n	p	p_mc
group1	0.0	0.9038511363741977	0.90392
group2	17.0	0.09227843905736809	0.094125
group3	4.0	0.5003020399794059	0.50255
group4	1.0	0.751171567378722	0.75206
group5	3.0	0.5681709560513405	0.57014
group6	1.0	0.751171567378722	0.75206
group7	2.0	0.6501041636840962	0.65167
group8	0.0	0.9038511363741977	0.90392
group9	7.0	0.34346428638341503	0.345745
group10	10.0	0.232679367046628	0.234755
group11	15.0	0.12207191349129885	0.124195
group12	2.0	0.6501041636840962	0.65167
group13	1.0	0.751171567378722	0.75206
group14	8.0	0.30111286437664714	0.303225
group15	5.0	0.44181279388884603	0.44437
group16	0.0	0.9038511363741977	0.90392
group17	2.0	0.6501041636840962	0.65167
group18	0.0	0.9038511363741977	0.90392
group19	13.0	0.15862206300507117	0.160155
group20	10.0	0.232679367046628	0.234755
group21	12.0	0.18067295524366164	0.182515
group22	2.0	0.6501041636840962	0.65167
group23	9.0	0.2640831610920024	0.2661
group24	3.0	0.5681709560513405	0.57014
group25	2.0	0.6501041636840962	0.65167
group26	8.0	0.30111286437664714	0.303225
group27	10.0	0.232679367046628	0.234755
group28	4.0	0.5003020399794059	0.50255
group29	7.0	0.34346428638341503	0.345745
group30	4.0	0.5003020399794059	0.50255
group31	2.0	0.6501041636840962	0.65167
group32	1.0	0.751171567378722	0.75206
group33	2.0	0.6501041636840962	0.65167
group34	10.0	0.232679367046628	0.234755
group35	2.0	0.6501041636840962	0.65167
group36	10.0	0.232679367046628	0.234755
group37	0.0	0.9038511363741977	0.90392
group38	10.0	0.232679367046628	0.234755
group39	0.0	0.9038511363741977	0.90392
group40	4.0	0.5003020399794059	0.50255
group41	2.0	0.6501041636840962	0.65167
group42	13.0	0.15862206300507117	0.160155
group43	0.0	0.9038511363741977	0.90392
group44	9.0	0.2640831610920024	0.2661
group45	0.0	0.9038511363741977	0.90392
group46	0.0	0.9038511363741977	0.90392
group47	0.0	0.9038511363741977	0.90392
group48	12.0	0.18067295524366164	0.182515
group49	0.0	0.9038511363741977	0.90392
group50	2.0	0.6501041636840962	0.65167
group51	37.0	0.0038649691430565187	0.00398
group52	26.0	0.02347526945580086	0.023785
group53	0.0	0.9038511363741977	0.90392
group54	6.0	0.3897169975467483	0.39233
group55	4.0	0.5003020399794059	0.50255
group56	8.0	0.30111286437664714	0.303225
group57	0.0	0.9038511363741977	0.90392
group58	4.0	0.5003020399794059	0.50255
group59	26.0	0.02347526945580086	0.023785
group60	13.0	0.15862206300507117	0.160155
group61	10.0	0.232679367046628	0.234755
group62	8.0	0.30111286437664714	0.303225
group63	30.0	0.01234337579364318	0.012475
group64	3.0	0.5681709560513405	0.57014
group65	5.0	0.44181279388884603	0.44437
group66	7.0	0.34346428638341503	0.345745
group67	10.0	0.232679367046628	0.234755
group68	3.0	0.5681709560513405	0.57014
group69	0.0	0.9038511363741977	0.90392
group70	7.0	0.34346428638341503	0.345745
group71	5.0	0.44181279388884603	0.44437
group72	6.0	0.3897169975467483	0.39233
group73	0.0	0.9038511363741977	0.90392
group74	1.0	0.751171567378722	0.75206
group75	1.0	0.751171567378722	0.75206
group76	0.0	0.9038511363741977	0.90392
group77	27.0	0.019990817017512194	0.02029
group78	4.0	0.5003020399794059	0.50255
group79	5.0	0.44181279388884603	0.44437
group80	12.0	0.18067295524366164	0.182515
group81	10.0	0.232679367046628	0.234755
group82	0.0	0.9038511363741977	0.90392
group83	5.0	0.44181279388884603	0.44437
group84	0.0	0.9038511363741977	0.90392
group85	14.0	0.13933497481085996	0.14119
group86	2.0	0.6501041636840962	0.65167
group87	9.0	0.2640831610920024	0.2661
group88	1.0	0.751171567378722	0.75206
group89	1.0	0.751171567378722	0.75206
group90	11.0	0.2052424404249041	0.20729
group91	1.0	0.751171567378722	0.75206
group92	4.0	0.5003020399794059	0.50255
group93	0.0	0.9038511363741977	0.90392
group94	13.0	0.15862206300507117	0.160155
group95	0.0	0.9038511363741977	0.90392
group96	3.0	0.5681709560513405	0.57014
group97	0.0	0.9038511363741977	0.90392
group98	32.0	0.008953328765458056	0.00905
group99	10.0	0.232679367046628	0.234755
group100	8.0	0.30111286437664714	0.303225
