#1:ID	#2:NameGroupA	#3:NameGroupB	#4:p.value	#5:FDR	#6:relationType	#7:PFC
2	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10	0.025790	1.000000	+	0.880500
3	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP100	0.133964	1.000000	+	0.875154
4	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1000	0.012582	1.000000	-	0.856500
5	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP10000	0.185902	1.000000	-	0.869778
6	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1001	0.300108	1.000000	-	0.764000
9	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1004	0.095136	1.000000	+	0.882889
11	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1006	0.000977	1.000000	+	0.904529
12	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1007	0.183013	1.000000	+	0.936478
13	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1008	0.192422	1.000000	+	0.894560
14	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1009	0.056067	1.000000	-	0.746000
15	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP101	0.115258	1.000000	-	0.797571
16	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1010	0.339648	1.000000	-	0.901857
17	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1011	0.020642	1.000000	+	0.932875
18	GLYCOLYSIS_/_GLUCONEOGENESIS_-_HOMO_SAPIENS_(HUMAN)	GROUP1012	0.024304	1.000000	-	0.830500
