	n	p
group1	8.0	0.3569342822366126
group2	0.0	0.9468325625459568
group3	0.0	0.9468325625459568
group4	0.0	0.9468325625459568
group5	3.0	0.6673870832875023
group6	9.0	0.3126147340928595
group7	0.0	0.9468325625459568
group8	1.0	0.8443412602201559
group9	0.0	0.9468325625459568
group10	0.0	0.9468325625459568
group11	6.0	0.46146120387649664
group12	6.0	0.46146120387649664
group13	1.0	0.8443412602201559
group14	10.0	0.27386886149409484
group15	0.0	0.9468325625459568
group16	5.0	0.5233137832430015
group17	0.0	0.9468325625459568
group18	22.0	0.05758536444158919
group19	0.0	0.9468325625459568
group20	0.0	0.9468325625459568
group21	0.0	0.9468325625459568
group22	1.0	0.8443412602201559
group23	2.0	0.7512491363337744
group24	10.0	0.27386886149409484
group25	4.0	0.5915711647410568
group26	1.0	0.8443412602201559
group27	5.0	0.5233137832430015
group28	2.0	0.7512491363337744
group29	1.0	0.8443412602201559
group30	0.0	0.9468325625459568
group31	2.0	0.7512491363337744
group32	4.0	0.5915711647410568
group33	0.0	0.9468325625459568
group34	1.0	0.8443412602201559
group35	3.0	0.6673870832875023
group36	11.0	0.24017069866795293
group37	0.0	0.9468325625459568
group38	0.0	0.9468325625459568
group39	2.0	0.7512491363337744
group40	6.0	0.46146120387649664
group41	5.0	0.5233137832430015
group42	0.0	0.9468325625459568
group43	2.0	0.7512491363337744
group44	6.0	0.46146120387649664
group45	4.0	0.5915711647410568
group46	7.0	0.40629928352729233
group47	6.0	0.46146120387649664
group48	2.0	0.7512491363337744
group49	1.0	0.8443412602201559
group50	1.0	0.8443412602201559
group51	0.0	0.9468325625459568
group52	14.0	0.16232380099836197
group53	0.0	0.9468325625459568
group54	1.0	0.8443412602201559
group55	0.0	0.9468325625459568
group56	2.0	0.7512491363337744
group57	4.0	0.5915711647410568
group58	0.0	0.9468325625459568
group59	0.0	0.9468325625459568
group60	0.0	0.9468325625459568
group61	0.0	0.9468325625459568
group62	0.0	0.9468325625459568
group63	2.0	0.7512491363337744
group64	1.0	0.8443412602201559
group65	0.0	0.9468325625459568
group66	1.0	0.8443412602201559
group67	17.0	0.10938396196263124
group68	1.0	0.8443412602201559
group69	0.0	0.9468325625459568
group70	7.0	0.40629928352729233
group71	2.0	0.7512491363337744
group72	5.0	0.5233137832430015
group73	10.0	0.27386886149409484
group74	0.0	0.9468325625459568
group75	0.0	0.9468325625459568
group76	1.0	0.8443412602201559
group77	1.0	0.8443412602201559
group78	3.0	0.6673870832875023
group79	1.0	0.8443412602201559
group80	1.0	0.8443412602201559
group81	2.0	0.7512491363337744
group82	0.0	0.9468325625459568
group83	15.0	0.14237348814712353
group84	2.0	0.7512491363337744
group85	1.0	0.8443412602201559
group86	0.0	0.9468325625459568
group87	3.0	0.6673870832875023
group88	2.0	0.7512491363337744
group89	6.0	0.46146120387649664
group90	10.0	0.27386886149409484
group91	2.0	0.7512491363337744
group92	4.0	0.5915711647410568
group93	0.0	0.9468325625459568
group94	0.0	0.9468325625459568
group95	4.0	0.5915711647410568
group96	0.0	0.9468325625459568
group97	2.0	0.7512491363337744
group98	10.0	0.27386886149409484
group99	2.0	0.7512491363337744
group100	0.0	0.9468325625459568
group101	1.0	0.8443412602201559
group102	1.0	0.8443412602201559
group103	0.0	0.9468325625459568
group104	2.0	0.7512491363337744
group105	1.0	0.8443412602201559
group106	4.0	0.5915711647410568
group107	1.0	0.8443412602201559
group108	0.0	0.9468325625459568
group109	18.0	0.0958544120619827
group110	1.0	0.8443412602201559
group111	4.0	0.5915711647410568
group112	6.0	0.46146120387649664
group113	1.0	0.8443412602201559
group114	3.0	0.6673870832875023
group115	0.0	0.9468325625459568
group116	18.0	0.0958544120619827
group117	4.0	0.5915711647410568
group118	1.0	0.8443412602201559
group119	1.0	0.8443412602201559
group120	12.0	0.2107325879388357
group121	0.0	0.9468325625459568
group122	1.0	0.8443412602201559
group123	1.0	0.8443412602201559
group124	6.0	0.46146120387649664
group125	0.0	0.9468325625459568
group126	0.0	0.9468325625459568
group127	0.0	0.9468325625459568
group128	0.0	0.9468325625459568
group129	0.0	0.9468325625459568
group130	0.0	0.9468325625459568
group131	1.0	0.8443412602201559
group132	5.0	0.5233137832430015
group133	0.0	0.9468325625459568
group134	0.0	0.9468325625459568
group135	25.0	0.03903776957373664
group136	5.0	0.5233137832430015
group137	0.0	0.9468325625459568
group138	2.0	0.7512491363337744
group139	0.0	0.9468325625459568
group140	9.0	0.3126147340928595
group141	2.0	0.7512491363337744
group142	1.0	0.8443412602201559
group143	5.0	0.5233137832430015
group144	0.0	0.9468325625459568
group145	5.0	0.5233137832430015
group146	1.0	0.8443412602201559
group147	6.0	0.46146120387649664
group148	8.0	0.3569342822366126
group149	0.0	0.9468325625459568
group150	0.0	0.9468325625459568
group151	1.0	0.8443412602201559
group152	3.0	0.6673870832875023
group153	1.0	0.8443412602201559
group154	0.0	0.9468325625459568
group155	13.0	0.184932585819308
group156	0.0	0.9468325625459568
group157	0.0	0.9468325625459568
group158	1.0	0.8443412602201559
group159	1.0	0.8443412602201559
group160	8.0	0.3569342822366126
group161	2.0	0.7512491363337744
group162	0.0	0.9468325625459568
group163	2.0	0.7512491363337744
group164	3.0	0.6673870832875023
group165	1.0	0.8443412602201559
group166	0.0	0.9468325625459568
